,date,user,source,tweet,location,like_count,retweet_count
77,2022-11-29 11:22:02+00:00,callieokwu,GreatCallieApps,"Dollar rebounds on Fed expectations, Aussie drops - REUTERS
 https://t.co/hhLpT5FjOv
 Aisha Buhari THANDO MEETS SA PHYNATION Aminu #MondayMotivation #HopeAgain2023 Osun #Bankstrivia #FIFAWorldCupQatar2022 Uruguay #PORURU",Nigeria,0,0
78,2022-11-29 11:21:54+00:00,callieokwu,GreatCallieApps,"Exchange Rate Update: USDBuy-12=N760 USDSell-10=N765 GBPBuy+5=N915 GBPSell+10=N930 EURBuy+5=N775 EURSell+5=N790 
 https://t.co/TuWvDgHNPl  
 Aisha Buhari THANDO MEETS SA PHYNATION #MondayMotivation #HopeAgain2023 Aminu Osun #Bankstrivia #FIFAWorldCupQatar2022 Uruguay #PORURU",Nigeria,0,0
79,2022-11-29 11:17:27+00:00,acousti98799765,Twitter for Android,@RealChiefPriest Boss help with a job instead  money can do alot but a steady source of income will help alot for me and my fam.... #HopeAgain2023,"Owerri, Nigeria",0,0
80,2022-11-29 11:14:50+00:00,LWSBryce,Twitter for Android,"It's #GivingTuesday2022 @ListenWellScot

Get a warm glow here by using your small change 💸 to make a big change for a struggling young person 💎👍🏿💎👍🏼💎
#MentalHealthMatters
#HopeAgain2023
https://t.co/s2jiC9mDsi","Scotland, United Kingdom",0,0
81,2022-11-29 11:12:07+00:00,tomgeorgie3,Twitter for Android,"Over the week @Pres_adebayo had a great interactive session with the Christian Association of Nigeria in Abuja. it was a great privilege to discuss with its leadership some key issues around leadership and politics in our great country. https://t.co/dEVHwWpiZj
 #HopeAgain2023","Port Harcourt, Nigeria",0,0
82,2022-11-29 11:10:11+00:00,LinguistMarco,Twitter Web App,QUIZ TIME 29-11-2022 #StandWithUkraine #UkraineWar #hope #HopeAgain2023 #langtwt #LANGUAGE #Languages #LanguageLearning @W4UA_Summit https://t.co/dmCJujRPUT https://t.co/T4We8rjnjL,A tiny corner of England,0,1
83,2022-11-29 11:08:34+00:00,CJeh_,Twitter for Android,"#HopeAgain2023
I am a fashion designer
These are some of my works
This amount of money will support and help me get more sewing machine https://t.co/6UkvmJPxwc","Abuja, Nigeria",1,0
84,2022-11-29 11:06:16+00:00,CJeh_,Twitter for Android,"#HopeAgain2023
I am a fashion designer
These are some of my works 
This amount of money will help me buy more sewing machine. https://t.co/RfTO1eFT7j","Abuja, Nigeria",0,0
85,2022-11-29 11:04:43+00:00,CJeh_,Twitter for Android,"#HopeAgain2023 
Sir I am a fashion designer
These are so of my works
I humbly request to be selected. https://t.co/nfeX5yAyfe","Abuja, Nigeria",0,0
86,2022-11-29 10:58:00+00:00,TheDipoly,Twitter for iPhone,@Officialmcpepe1 #hopeagain2023,,0,0
87,2022-11-29 10:57:29+00:00,correctnaijacom,IFTTT,"Yemi Alade’s Belongings Ransacked, Money Stolen Inside Hotel
https://t.co/IfU4QzwlFn

Aisha Buhari #HopeAgain2023 https://t.co/C5j7H9sLHl",Nigeria,2,0
88,2022-11-29 10:56:34+00:00,Officialmcpepe1,Twitter Web App,"One or two people will get credited today 

#HopeAgain2023",Nigeria,53,34
89,2022-11-29 10:48:27+00:00,m3trendy,Twitter Web App,"9ice Performs ""No Be Mistake and Living Things"" | CULTURATI 2022 | M3TV 

Click to watch: https://t.co/vRtaTXTWVF 
via @YouTube 
.
.
.
Aisha Buhari #HopeAgain2023 THANDO MEETS SA PHYNATION PHYNA THE CLOUT MAGNET, NO PHYNA NO BUZZ #MondayMotivation Osun #FIFAWorldCupQatar2022 https://t.co/LfySJcblFS",,2,1
90,2022-11-29 10:47:48+00:00,kapital929,Twitter Web App,"Cameroon Suspend Onana From Squad - https://t.co/rrCh6L2zq9 

#KORGHA/Lakers/Aisha Buhari/Uruguay/#PORURU/Osun/#HopeAgain2023 https://t.co/pcidph9PdR","Abuja, Nigeria",2,0
