,date,user,source,tweet,location,like_count,retweet_count
1694,2022-11-24 13:56:46+00:00,YusifYahaya12,Twitter for Android,"Hello kwara, light has landed into your state, @atiku will bring back hope to your state. As he will provide effective measures towards attaining a prosperous kwara and a united Nigeria come 2023.
#RecoverNigeria
#AtikuOkowa
#AtikuInkwara https://t.co/iexKFVinjO",Nigeria,2,1
1695,2022-11-24 13:56:25+00:00,Isah_Marlyn,Twitter for Android,Atiku's handling of the National Executive Council between 1999 and 2007; shows that not only does he have political and administrative experiences to be Nigeria's President; but that his political and administrative experiences are good. #AtikuOkowa https://t.co/JrI7agZYWW,"Lagos, Nigeria",0,0
1696,2022-11-24 13:56:18+00:00,tyeemaa1,Twitter for Android,"Kwara state have answered PDP

#AtikuOkowa2023 
#AtikuInKwara 
#RecoverNigeria https://t.co/QcQ7uaPTss","Abuja, Nigeria",21,5
1697,2022-11-24 13:56:03+00:00,NafeesahAbdulll,Twitter for iPhone,"@bukolasaraki @atiku Let’s take back Nigeria Kwara!  #AtikuOkowa2023 
#RecoverNigeria #AtikuInKwara https://t.co/SaXC5jqLjg",Nigeria,0,0
1698,2022-11-24 13:55:43+00:00,GraceIsah4U,Twitter for Android,"Under Atiku's watch as Nigeria's Vice President back then in 1999 to 2007, the National Economic Council at the time paid off all Nigeria's foreign debts to the Paris Club and other Bretton Woods institutions.

#AtikuOkowa https://t.co/u6SN203fBh",,0,0
1699,2022-11-24 13:54:37+00:00,VincentOmoko,Twitter for Android,"Atiku/Okowa shut down Kwara!

The love was massive. Kwara is in the bag. #AtikuOkowa2023 #OkowaDoings https://t.co/qDhmpcmPZs","Asaba, Nigeria",2,0
1700,2022-11-24 13:53:17+00:00,Sallexman1,Twitter for Android,"We can't hand over a sick Nation to a Sick Man. Atanda Lamidi Sangodele Tinubu The President that will never rule Nigeria should go and rest cuz #AtikuIsComing
#AtikuInKwara
#AtikuOkowa2023 https://t.co/nXMeC6Xotp https://t.co/aidlPQnIFE",,1,1
1701,2022-11-24 13:51:50+00:00,El_fharouqUMIL,Twitter for Android,"I Umar Muhammad ibbi Loko am very optimistic @atiku will #RecoverNigeria from hunger, insecurities and Joblessness

#RecoverNigeria
#RecoverKwara With 
#AtikuOkowa https://t.co/OoCbFX9OrQ",Port Harcourt,12,5
1702,2022-11-24 13:51:05+00:00,regalsnail,Twitter for Android,"@Davidiyaji2 @atiku You're still f°°Ling around.... Change your mind before they change it for you....

Vote for #AtikuOkowa for Better Nigeria",,0,0
1703,2022-11-24 13:51:01+00:00,Babaibadansahed,Twitter for Android,"Happening Now!

Touch down, Kwara - #AtikuInKwara state.

PDP Presidential Campaign Rally, from the Metropolitan Square, Ilorin Kwara State.

#Atikuinkwara
#AtikuOkowa2023 
#atikuiscoming https://t.co/5nBOxMWI7u","Ilorin, Nigeria",1,0
